x	2theta 600 strained
0	45.8945836078093
0.01	45.9275130448141
0.02	45.9604932106575
0.03	45.9935242271989
0.04	46.0266062167025
0.05	46.0597393018388
0.06	46.0929236056867
0.07	46.1261592517348
0.08	46.1594463638836
0.09	46.192785066447
0.1	46.2261754841541
0.11	46.2596177421512
0.12	46.2931119660032
0.13	46.326658281696
0.14	46.3602568156377
0.15	46.3939076946608
0.16	46.4276110460239
0.17	46.4613669974137
0.18	46.4951756769467
0.19	46.5290372131711
0.2	46.5629517350686
0.21	46.5969193720566
0.22	46.6309402539898
0.23	46.6650145111621
0.24	46.6991422743087
0.25	46.733323674608
0.26	46.7675588436833
0.27	46.8018479136052
0.28	46.8361910168931
0.29	46.8705882865174
0.3	46.9050398559014
0.31	46.9395458589236
0.32	46.9741064299191
0.33	47.0087217036822
0.34	47.0433918154682
0.35	47.0781169009952
0.36	47.1128970964465
0.37	47.1477325384727
0.38	47.1826233641934
0.39	47.2175697111996
0.4	47.2525717175555
0.41	47.287629521801
0.42	47.3227432629535
0.43	47.3579130805102
0.44	47.3931391144501
0.45	47.4284215052362
0.46	47.4637603938178
0.47	47.4991559216325
0.48	47.5346082306083
0.49	47.5701174631663
0.5	47.6056837622222
0.51	47.6413072711892
0.52	47.6769881339796
0.53	47.7127264950077
0.54	47.7485224991914
0.55	47.7843762919551
0.56	47.8202880192316
0.57	47.8562578274645
0.58	47.8922858636103
0.59	47.9283722751413
0.6	47.9645172100474
0.61	48.0007208168384
0.62	48.0369832445471
0.63	48.0733046427306
0.64	48.1096851614738
0.65	48.1461249513908
0.66	48.182624163628
0.67	48.2191829498664
0.68	48.2558014623239
0.69	48.2924798537576
0.7	48.3292182774668
0.71	48.3660168872951
0.72	48.4028758376329
0.73	48.4397952834201
0.74	48.4767753801485
0.75	48.5138162838644
0.76	48.550918151171
0.77	48.5880811392314
0.78	48.6253054057707
0.79	48.6625911090788
0.8	48.6999384080132
0.81	48.7373474620012
0.82	48.774818431043
0.83	48.8123514757142
0.84	48.8499467571684
0.85	48.8876044371399
0.86	48.9253246779465
0.87	48.9631076424922
0.88	49.00095349427
0.89	49.0388623973645
0.9	49.0768345164547
0.91	49.1148700168171
0.92	49.152969064328
0.93	49.1911318254667
0.94	49.2293584673183
0.95	49.2676491575764
0.96	49.3060040645459
0.97	49.3444233571464
0.98	49.3829072049144
0.99	49.421455778007
1	49.4600692472038
